Sample_ID,Preprocessing_Time_ms,Inference_Time_ms,Postprocessing_Time_ms,Total_Time_ms
0,1.0097,188.2477,0.0000,189.2574
1,0.0010,4.0202,0.0000,4.0202
2,1.5042,5.0855,0.0000,6.5897
3,0.0010,5.0139,0.0000,5.0139
4,0.0010,5.9988,0.0000,5.9988
5,0.0010,4.0436,0.0000,4.0436
6,0.0010,3.0081,0.0000,3.0081
7,0.0010,6.5053,0.0000,6.5053
8,0.0010,3.9992,0.0000,3.9992
9,0.0010,4.0145,0.0000,4.0145
10,0.0010,4.0090,0.0000,4.0090
11,0.0010,3.0029,0.0000,3.0029
12,0.0010,4.0016,0.0000,4.0016
13,0.0010,5.5127,0.0000,5.5127
14,0.9997,2.9991,0.0000,3.9988
15,0.0010,4.0140,0.0000,4.0140
16,0.0010,5.0030,0.0000,5.0030
17,0.0010,6.2411,0.0000,6.2411
18,0.0010,4.5092,0.0000,4.5092
19,0.0010,3.9990,0.0000,3.9990
20,0.0010,4.5149,0.0000,4.5149
21,0.0010,2.9976,0.0000,2.9976
22,0.0010,10.6225,0.0000,10.6225
23,0.0010,4.5135,0.0000,4.5135
24,0.0010,8.6091,0.0000,8.6091
25,0.0010,3.0077,0.0000,3.0077
26,0.0010,5.6772,0.0000,5.6772
27,0.0010,3.9895,0.0000,3.9895
28,0.0010,4.0088,0.0000,4.0088
29,0.9997,3.0000,0.0000,3.9997
30,0.0010,3.5105,0.0000,3.5105
31,0.0010,3.9999,0.0000,3.9999
32,0.0010,4.4129,0.0000,4.4129
33,0.0010,6.5053,0.0000,6.5053
34,0.0010,4.0076,0.0000,4.0076
35,0.0010,4.5078,0.0000,4.5078
36,0.0010,3.9999,0.0000,3.9999
37,0.0010,4.3352,0.0000,4.3352
38,0.0010,5.0015,0.0000,5.0015
39,0.0010,4.5066,0.0000,4.5066
40,1.5030,5.0173,0.0000,6.5203
41,0.0010,4.1642,0.0000,4.1642
42,0.0010,4.0045,0.0000,4.0045
43,0.0010,5.5110,0.0000,5.5110
44,0.9997,3.5050,0.0000,4.5047
45,0.0010,4.2758,0.0000,4.2758
46,1.0009,4.5044,0.0000,5.5053
47,0.0010,5.0008,0.0000,5.0008
48,0.0010,5.2288,0.0000,5.2288
49,0.0010,3.0065,0.0000,3.0065
50,0.0010,4.0026,0.0000,4.0026
51,0.0010,4.0548,0.0000,4.0548
52,0.0010,4.0090,0.0000,4.0090
53,0.0010,2.9986,0.0000,2.9986
54,0.0010,4.1289,0.0000,4.1289
55,0.0010,3.9992,0.0000,3.9992
56,0.0010,4.2706,0.0000,4.2706
57,0.9999,4.0002,0.0000,5.0001
58,1.5042,4.0050,0.0000,5.5091
59,0.0010,5.0488,0.0000,5.0488
60,0.0010,3.9988,0.0000,3.9988
61,0.0010,4.0007,0.0000,4.0007
62,0.0010,3.0005,0.0000,3.0005
63,1.0035,4.0233,0.0000,5.0268
64,0.0010,4.5037,0.0000,4.5037
65,1.0040,2.9967,0.0000,4.0007
66,0.0010,4.5724,0.0000,4.5724
67,0.0010,3.9999,0.0000,3.9999
68,0.0010,3.9997,0.0000,3.9997
69,0.0010,4.0009,0.0000,4.0009
70,0.0010,4.5018,0.0000,4.5018
71,0.0010,3.9995,0.0000,3.9995
72,0.0010,4.5037,0.0000,4.5037
73,1.0014,2.9995,0.0000,4.0009
74,0.0010,3.0029,0.0000,3.0029
75,0.0010,4.0035,0.0000,4.0035
76,0.0010,8.5044,0.0000,8.5044
77,0.0010,2.9998,0.0000,2.9998
78,0.0010,4.3194,0.0000,4.3194
79,1.0014,3.9983,0.0000,4.9996
80,0.0010,3.2883,0.0000,3.2883
81,1.1353,4.0028,0.0000,5.1382
82,0.9999,3.5083,0.0000,4.5083
83,0.0010,4.0066,0.0000,4.0066
84,0.0010,5.3656,0.0000,5.3656
85,0.0010,4.0004,0.0000,4.0004
86,0.0010,5.2860,0.0000,5.2860
87,0.9995,3.5021,0.0000,4.5016
88,0.0010,3.9990,0.0000,3.9990
89,0.0010,3.9999,0.0000,3.9999
90,0.0010,4.0026,0.0000,4.0026
91,0.0010,3.9999,0.0000,3.9999
92,0.0010,3.9992,0.0000,3.9992
93,0.0010,4.0007,0.0000,4.0007
94,1.4908,3.9992,0.0000,5.4901
95,1.0021,4.5075,0.0000,5.5096
96,0.0010,4.9946,0.0000,4.9946
97,1.3742,9.5069,0.0000,10.8812
98,0.9999,4.4687,0.0000,5.4686
99,0.0010,3.9999,0.0000,3.9999
