Sample_ID,Preprocessing_Time_ms,Inference_Time_ms,Postprocessing_Time_ms,Rendering_Time_ms,Total_Time_ms
0,0.5014,182.9858,0.0010,31.0962,215.1284
1,0.1349,4.1530,0.0010,6.1243,10.4148
2,0.1113,5.0287,0.0010,7.1118,12.2542
3,0.1392,4.6656,0.0010,7.7376,12.5446
4,0.1471,4.4737,0.0010,8.1141,12.7375
5,0.1562,8.9953,0.0010,6.3078,15.4614
6,0.1106,4.0331,0.0010,6.3999,10.5455
7,0.1163,4.0727,0.0010,11.2622,15.4533
8,0.1915,8.0202,0.0010,7.4315,15.6450
9,0.1171,4.1132,0.0010,6.8781,11.1101
10,0.1214,3.9053,0.0010,7.1211,11.1501
11,0.1092,4.3058,0.0010,5.8730,10.2906
12,0.1144,3.9132,0.0010,7.1461,11.1756
13,0.1378,5.6360,0.0010,7.4890,13.2656
14,0.1342,4.8397,0.0010,6.2485,11.2247
15,0.1214,4.6227,0.0010,5.6026,10.3486
16,0.1087,4.1902,0.0010,6.7780,11.0793
17,0.1080,3.8376,0.0010,5.2619,9.2099
18,0.1264,4.0123,0.0010,5.1577,9.2978
19,0.1349,4.1134,0.0010,7.2925,11.5430
20,0.1113,4.2465,0.0010,6.9754,11.3349
21,0.1111,4.0133,0.0010,6.3326,10.4587
22,0.1760,4.6992,0.0010,6.8529,11.7309
23,0.1225,4.2603,0.0010,10.9854,15.3706
24,0.3929,7.0331,0.0010,7.2367,14.6654
25,0.1218,4.3697,0.0010,5.7735,10.2673
26,0.1450,4.8318,0.0010,5.9481,10.9274
27,0.1078,3.8426,0.0010,6.1054,10.0577
28,0.1245,4.0193,0.0010,5.3935,9.5396
29,0.1273,3.9549,0.0010,6.6323,10.7162
30,0.1101,4.1456,0.0010,6.4435,10.7012
31,0.1075,3.8724,0.0010,7.4944,11.4763
32,0.1607,4.8470,0.0010,6.4549,11.4651
33,0.1361,3.9904,0.0010,7.5581,11.6863
34,0.1118,4.0359,0.0010,5.8503,10.0000
35,0.1094,4.1790,0.0010,5.5249,9.8152
36,0.1128,4.0033,0.0010,5.7523,9.8701
37,0.1149,4.0710,0.0010,6.1674,10.3552
38,0.1099,4.0891,0.0010,6.2211,10.4218
39,0.1070,4.1695,0.0010,7.5071,11.7857
40,0.1209,3.8915,0.0010,10.7985,14.8127
41,0.1376,4.6456,0.0010,8.1136,12.8994
42,0.1335,5.1298,0.0010,8.5714,13.8373
43,0.1283,4.7903,0.0010,8.1506,13.0713
44,0.1178,4.3900,0.0010,6.7043,11.2143
45,0.1173,4.0603,0.0010,5.9738,10.1533
46,0.1104,4.3221,0.0010,5.9843,10.4187
47,0.1149,4.0147,0.0010,5.3325,9.4643
48,0.1175,3.9194,0.0010,5.0137,9.0520
49,0.1099,3.9668,0.0010,6.2387,10.3171
50,0.1073,4.0073,0.0010,7.2355,11.3521
51,0.1237,4.2219,0.0010,4.7786,9.1262
52,0.1080,5.1870,0.0010,8.7597,14.0576
53,0.1278,5.4133,0.0010,7.0021,12.5458
54,0.1273,4.7858,0.0010,5.4200,10.3352
55,0.1149,4.0765,0.0010,6.9764,11.1699
56,0.1230,4.0684,0.0010,5.6760,9.8696
57,0.1068,4.2667,0.0010,10.2410,14.6172
58,0.1283,4.7092,0.0010,6.1271,10.9670
59,0.1149,4.4188,0.0010,6.4507,10.9868
60,0.1192,4.1225,0.0010,5.7416,9.9852
61,0.1187,4.0879,0.0010,6.3050,10.5133
62,0.1404,4.9660,0.0010,7.7193,12.8284
63,0.1211,6.0766,0.0010,6.7868,12.9874
64,0.1185,4.5397,0.0010,4.2830,8.9438
65,0.1223,4.0264,0.0010,5.7352,9.8860
66,0.1099,4.0395,0.0010,7.1700,11.3208
67,0.1056,4.4305,0.0010,6.2835,10.8213
68,0.1142,4.0233,0.0010,7.2789,11.4186
69,0.1192,3.9744,0.0010,5.9075,10.0029
70,0.1187,3.9301,0.0010,5.5199,9.5708
71,0.1104,4.2124,0.0010,5.6670,9.9924
72,0.1087,3.8140,0.0010,5.9371,9.8615
73,0.1490,4.7486,0.0010,9.0196,13.9196
74,0.1559,4.2233,0.0010,11.0538,15.4355
75,0.1426,4.4327,0.0010,5.9240,10.5014
76,0.1123,4.5290,0.0010,6.0892,10.7329
77,0.1290,4.1962,0.0010,7.6671,11.9944
78,0.1206,4.1924,0.0010,6.2230,10.5383
79,0.2406,4.8130,0.0010,6.1994,11.2553
80,0.1152,3.8836,0.0010,5.7361,9.7370
81,0.1116,4.3530,0.0010,4.9217,9.3882
82,0.1090,3.9706,0.0010,5.5959,9.6779
83,0.1242,5.4352,0.0010,5.3730,10.9353
84,0.1221,5.1920,0.0010,7.2019,12.5184
85,0.1149,4.8342,0.0010,5.8491,10.8004
86,0.1097,4.1106,0.0010,7.7133,11.9359
87,0.1392,4.3285,0.0010,6.7706,11.2405
88,0.1149,3.8996,0.0010,5.2691,9.2857
89,0.1128,4.3159,0.0010,6.1395,10.5703
90,0.1097,3.9814,0.0010,6.9554,11.0483
91,0.1125,4.1387,0.0010,10.8147,15.0676
92,0.1438,8.2114,0.0010,5.9600,14.3178
93,0.1559,4.4813,0.0010,8.5063,13.1459
94,0.1235,3.8540,0.0010,7.1778,11.1573
95,0.1121,4.2846,0.0010,4.6067,9.0053
96,0.1173,3.9325,0.0010,6.3365,10.3886
97,0.1082,3.9532,0.0010,7.2949,11.3578
98,0.1209,3.9661,0.0010,6.1357,10.2246
99,0.1419,4.9226,0.0010,6.3140,11.3807
100,0.1106,4.0157,0.0010,6.9730,11.1012
101,0.1159,4.0519,0.0010,6.0070,10.1769
102,0.1984,5.4851,0.0010,7.5300,13.2165
103,0.1724,5.6818,0.0010,6.6764,12.5341
104,0.1147,4.8985,0.0010,7.2184,12.2340
105,0.1111,4.3044,0.0010,6.6423,11.0602
106,0.1106,3.9341,0.0010,6.5286,10.5755
107,0.1152,3.8986,0.0010,11.4748,15.4905
108,0.1466,4.2582,0.0010,6.5231,10.9305
109,0.1180,4.0338,0.0010,5.8434,9.9974
110,0.1194,4.1392,0.0010,4.6909,8.9514
111,0.1175,4.0100,0.0010,4.9653,9.0950
112,0.1395,7.1623,0.0010,6.8228,14.1277
113,0.1478,5.0144,0.0010,5.8632,11.0281
114,0.1230,4.5557,0.0010,4.5981,9.2797
115,0.1132,4.0150,0.0010,7.3073,11.4377
116,0.1125,4.0224,0.0010,5.7883,9.9251
117,0.1302,4.1201,0.0010,6.3412,10.5934
118,0.1152,4.3640,0.0010,6.5663,11.0478
119,0.1070,3.9744,0.0010,4.8814,8.9648
120,0.1123,4.1144,0.0010,6.8176,11.0471
121,0.1230,4.1037,0.0010,6.4414,10.6699
122,0.1123,4.8876,0.0010,6.4588,11.4605
123,0.1190,4.9002,0.0010,6.5527,11.5740
124,0.1416,4.6401,0.0010,6.6469,11.4317
125,0.1440,4.3943,0.0010,7.8681,12.4083
126,0.1237,4.1306,0.0010,6.2048,10.4616
127,0.1242,4.1327,0.0010,6.1309,10.3898
128,0.1123,3.9093,0.0010,5.8341,9.8579
